"","HRV","LF","HF","LFHF","pNN50","rMSSD","HRVi","SampleEntropy","PoincareSD1","PoincareSD2","Period"
"1",955.8633168077782,162.77647381557043,30.502011276383296,5.63211219900893,1.7885416767867715,19.208849184839288,16.38700389562474,1.5338446387934315,13.697623132136956,114.4460652667807,"Morning"
"2",1613.0917562106824,155.67652208764804,50.8889787121002,2.8704651362996825,9.54778291816598,31.683601533115908,31.72905726850667,1.0347431295384333,22.596480906291593,155.41795849803208,"Morning"
"3",1048.2204847844043,180.57440376070397,13.825827713269852,13.248257619055504,1.102036539171592,16.84774786362882,28.977785526270928,1.3542485023256772,11.541470132637155,140.54625415375105,"Morning"
"4",2003.2334304372982,512.9342292914097,296.34698375917753,3.4573012998289494,2.3338242691323705,50.69360492604731,26.691088678059522,1.0898782290637337,36.52485351623501,237.11701781246617,"Morning"
"5",1370.0214126293588,163.44443492850837,80.5403382793281,2.6326214300471857,11.711871524375864,33.70384854737875,24.760628897336854,1.6349363971009723,23.513082376749175,117.14277415212244,"Morning"
"6",2028.3707507553613,358.09273147212895,520.5700833646415,1.4670667978732308,25.976223478546682,55.18816977486731,30.02124215272531,1.5990090382433233,38.984741476501064,193.20589150336582,"Morning"
"7",1330.9320255747336,71.42928162014198,21.826666683439708,4.045893795494215,3.019308858110481,22.15151962340306,16.96628108709463,1.750000220419385,15.451905775155025,136.0713269366119,"Morning"
"8",430.1410749572257,97.06751159473079,66.20898646700043,0.37267439468986374,4.0471468054338455,33.704918519777294,9.480621418055222,1.5111781275974876,23.66043929886131,60.23487154826795,"Morning"
"9",269.7715028869249,16.658039606699308,6.389260826007965,2.6201436069955606,0.2515313446303574,13.008663746502986,24.184098440475804,1.158911470220537,9.015587544303438,132.73110583402024,"Morning"
"10",1037.4383338440032,127.80756711539546,29.045832490349724,5.218256469548723,3.7714730108849563,22.067690313546837,23.837539613420464,1.2212288484288218,15.52811687591187,112.84906472878103,"Morning"
"11",1053.3119778536213,125.82239295953894,21.932959468145345,7.090428793190677,1.4008713311894896,19.543752402788083,24.78925586519068,1.4598006559459813,13.638411125143822,142.02562338736942,"Afternoon"
"12",634.6306787403056,80.57701771442242,29.400179944997284,3.204708538399116,4.478377890253117,23.906716845926507,15.818299754481105,1.5182491193603467,16.42694738103983,80.2727011130068,"Afternoon"
"13",451.27618224015424,69.94639882471732,7.347814340733115,10.010545909983675,0.5737105002039702,12.075920124692656,17.67080642822294,1.0652837713590597,8.645449966919426,86.18071885871291,"Afternoon"
"14",1118.6194689495494,233.2207542326529,141.55874189875797,6.1931307232594355,0.41329245709316065,34.98935797784753,17.420109533188363,1.1547635100046547,24.503942207003544,92.66357475569654,"Afternoon"
"15",1238.0931625940475,162.91459261429523,54.942869533048444,3.2082645280620565,8.22278210683083,29.417239263148385,29.916568389353902,1.3762033533108535,20.168379768678722,144.65603389752013,"Afternoon"
"16",1223.2351529256694,183.58874646099417,199.70400869766954,1.9233425646260929,13.727660594132484,36.816663756307825,27.0739174929741,1.3745934932066757,25.43082546611392,145.82666643838402,"Afternoon"
"17",660.6636194946145,79.00589127514709,10.447538204965428,10.036348024624456,0.8849500503886936,14.87307721807597,20.434541093562146,1.2531604001682,10.199511706616722,117.69764124823732,"Afternoon"
"18",165.79742898025174,10.425258378599521,9.451282341534549,1.1098447798459954,0.934584160553206,18.153433356091202,13.41753235196601,1.2484393552815392,12.841706758262994,74.53791757893674,"Afternoon"
"19",762.9384419969588,246.92905309898674,164.65250296757316,2.30599709238357,0.4763209757101466,34.16011323500572,9.453487571790134,1.0883657762705357,24.784254675046054,74.89963700486607,"Afternoon"
"20",716.3688459962693,106.91436768930392,49.11988671838506,2.4791653289049806,3.688117109195683,23.839095628326717,14.644244833649882,1.812600320495719,17.106154875597355,80.75689181123892,"Afternoon"
"21",658.7387632212107,255.2879551363367,32.409182668825544,9.390947737720337,2.5760481970836753,21.376490101164393,10.515461480999914,1.5218380337380846,15.366423729810283,68.86143415226124,"Night"
"22",1009.7114325890634,155.37887956022007,52.677692532590825,2.5710782496843287,5.668736590386097,32.70135890000027,13.29528921793199,1.5157535508370912,23.13076351245281,104.5696538793227,"Night"
"23",370.92497372281974,65.69177208512339,24.57519754859103,2.865059767905311,0.8832893362509544,19.36629626130339,13.794751298302115,1.1582483509329728,14.112472790234065,69.71610346725218,"Night"
"24",891.5446439686109,162.30913836744156,73.21764887452036,4.307205406785485,0.27953947902097614,28.80196624725924,23.074837646674045,1.3174969182200358,20.777395730776192,181.49615991826488,"Night"
"25",846.5460356675674,133.11425506318,100.96809673289263,1.4133491596854761,19.94582842437282,38.157743231359945,14.586277421109338,1.7370801460665695,27.08508389211585,82.93106131553155,"Night"
"26",1996.645722059579,275.5868787427365,686.4603456174669,0.47390510268645103,30.328500989950587,62.17400342618543,20.68562957356402,1.2856011326648507,44.67330889047955,125.4109691716741,"Night"
"27",1263.9292140888278,102.81371073275547,26.165899722261834,4.122756978462103,2.4914521775514564,23.233821713846204,19.011118473950667,1.8233445477090717,16.133707714989605,104.85713717187203,"Night"
"28",171.39216670285145,10.798686098392263,21.109576791254607,0.8293338477315461,2.6926706678141423,25.247074352309028,15.077748885007596,1.3801355839240055,18.040383395822875,82.71099934654815,"Night"
"29",199.04921734860665,38.140985628836056,26.433304368897154,2.0479423983726726,3.407183794521868,23.581512649606466,8.022749754283938,1.2706244793308483,17.052643014581726,59.599633432932805,"Night"
